"rel_abund_NIS"	"variable"	"CI.lower"	"CI.upper"	"species"	"x_axis"
"1"	1.28319374439183	"Eveness"	0.740546136995772	1.82584135178789	"Marenzelleria"	0.00644284400940883
"2"	1.29398615374643	"Eveness"	0.750887463785697	1.83708484370716	"Marenzelleria"	0.00976121409920505
"3"	1.30469144934848	"Eveness"	0.761131660813101	1.84825123788386	"Marenzelleria"	0.0130795841890013
"4"	1.31530963119799	"Eveness"	0.771278728077982	1.859340534318	"Marenzelleria"	0.0163979542787975
"5"	1.32584069929496	"Eveness"	0.781328665580342	1.87035273300957	"Marenzelleria"	0.0197163243685937
"6"	1.33628465363938	"Eveness"	0.79128147332018	1.88128783395858	"Marenzelleria"	0.0230346944583899
"7"	1.34664149423126	"Eveness"	0.801137151297497	1.89214583716503	"Marenzelleria"	0.0263530645481862
"8"	1.3569112210706	"Eveness"	0.810895699512292	1.9029267426289	"Marenzelleria"	0.0296714346379824
"9"	1.36709383415739	"Eveness"	0.820557117964565	1.91363055035022	"Marenzelleria"	0.0329898047277786
"10"	1.37718933349164	"Eveness"	0.830121406654316	1.92425726032897	"Marenzelleria"	0.0363081748175748
"11"	1.38719771907335	"Eveness"	0.839588565581546	1.93480687256516	"Marenzelleria"	0.039626544907371
"12"	1.39711899090252	"Eveness"	0.848958594746254	1.94527938705878	"Marenzelleria"	0.0429449149971673
"13"	1.40695314897914	"Eveness"	0.858231494148441	1.95567480380983	"Marenzelleria"	0.0462632850869635
"14"	1.41670019330321	"Eveness"	0.867407263788106	1.96599312281832	"Marenzelleria"	0.0495816551767597
"15"	1.42636012387475	"Eveness"	0.876485903665248	1.97623434408425	"Marenzelleria"	0.0529000252665559
"16"	1.43593294069374	"Eveness"	0.88546741377987	1.98639846760761	"Marenzelleria"	0.0562183953563521
"17"	1.44541864376019	"Eveness"	0.89435179413197	1.99648549338841	"Marenzelleria"	0.0595367654461484
"18"	1.45481723307409	"Eveness"	0.903139044721547	2.00649542142664	"Marenzelleria"	0.0628551355359446
"19"	1.46412870863546	"Eveness"	0.911829165548604	2.01642825172231	"Marenzelleria"	0.0661735056257408
"20"	1.47335307044428	"Eveness"	0.920422156613138	2.02628398427541	"Marenzelleria"	0.069491875715537
"21"	1.48249031850055	"Eveness"	0.928918017915151	2.03606261908595	"Marenzelleria"	0.0728102458053332
"22"	1.49154045280428	"Eveness"	0.937316749454642	2.04576415615392	"Marenzelleria"	0.0761286158951295
"23"	1.50050347335547	"Eveness"	0.945618351231612	2.05538859547933	"Marenzelleria"	0.0794469859849257
"24"	1.50937938015412	"Eveness"	0.95382282324606	2.06493593706218	"Marenzelleria"	0.0827653560747219
"25"	1.51816817320022	"Eveness"	0.961930165497986	2.07440618090246	"Marenzelleria"	0.0860837261645181
"26"	1.52686985249378	"Eveness"	0.96994037798739	2.08379932700017	"Marenzelleria"	0.0894020962543143
"27"	1.5354844180348	"Eveness"	0.977853460714273	2.09311537535532	"Marenzelleria"	0.0927204663441106
"28"	1.54401186982327	"Eveness"	0.985669413678634	2.10235432596791	"Marenzelleria"	0.0960388364339068
"29"	1.5524522078592	"Eveness"	0.993388236880474	2.11151617883793	"Marenzelleria"	0.099357206523703
"30"	1.56080543214259	"Eveness"	1.00100993031979	2.12060093396539	"Marenzelleria"	0.102675576613499
"31"	1.56907154267343	"Eveness"	1.00853449399659	2.12960859135028	"Marenzelleria"	0.105993946703295
"32"	1.57725053945173	"Eveness"	1.01596192791086	2.1385391509926	"Marenzelleria"	0.109312316793092
"33"	1.58534242247749	"Eveness"	1.02329223206261	2.14739261289237	"Marenzelleria"	0.112630686882888
"34"	1.5933471917507	"Eveness"	1.03052540645185	2.15616897704956	"Marenzelleria"	0.115949056972684
"35"	1.60126484727138	"Eveness"	1.03766145107855	2.1648682434642	"Marenzelleria"	0.11926742706248
"36"	1.6090953890395	"Eveness"	1.04470036594274	2.17349041213627	"Marenzelleria"	0.122585797152277
"37"	1.61683881705509	"Eveness"	1.05164215104441	2.18203548306577	"Marenzelleria"	0.125904167242073
"38"	1.62449513131813	"Eveness"	1.05848680638355	2.19050345625271	"Marenzelleria"	0.129222537331869
"39"	1.63206433182863	"Eveness"	1.06523433196017	2.19889433169708	"Marenzelleria"	0.132540907421665
"40"	1.63954641858658	"Eveness"	1.07188472777428	2.20720810939889	"Marenzelleria"	0.135859277511461
"41"	1.646941391592	"Eveness"	1.07843799382585	2.21544478935814	"Marenzelleria"	0.139177647601258
"42"	1.65424925084486	"Eveness"	1.08489413011491	2.22360437157482	"Marenzelleria"	0.142496017691054
"43"	1.66146999634519	"Eveness"	1.09125313664145	2.23168685604893	"Marenzelleria"	0.14581438778085
"44"	1.66860362809297	"Eveness"	1.09751501340546	2.23969224278048	"Marenzelleria"	0.149132757870646
"45"	1.67565014608821	"Eveness"	1.10367976040695	2.24762053176947	"Marenzelleria"	0.152451127960443
"46"	1.68260955033091	"Eveness"	1.10974737764592	2.25547172301589	"Marenzelleria"	0.155769498050239
"47"	1.68948184082106	"Eveness"	1.11571786512237	2.26324581651974	"Marenzelleria"	0.159087868140035
"48"	1.69626701755867	"Eveness"	1.1215912228363	2.27094281228104	"Marenzelleria"	0.162406238229831
"49"	1.70296508054373	"Eveness"	1.12736745078771	2.27856271029976	"Marenzelleria"	0.165724608319627
"50"	1.70957602977626	"Eveness"	1.13304654897659	2.28610551057593	"Marenzelleria"	0.169042978409424
"51"	1.71609986525624	"Eveness"	1.13862851740295	2.29357121310952	"Marenzelleria"	0.17236134849922
