"station"	"year"	"lon"	"lat"	"non_NIS_Di"	"overall_Di"	"ratio_NISvsNAT"	"ratio_sp"	"non_NIS_Di_nw"	"overall_Di_nw"	"nbsp"	"sing.sp"	"FRic"	"FEve"	"FDiv"	"FDis"	"RaoQ"	"richness"	"Shannon"	"Simpson"	"Eveness"	"mean_NIS_Di"	"NIS_Di"	"NIS_relab"	"NIS_Di_nw"	"species"	"month"	"depth"	"bot_sal"	"bot_sal_var"	"bot_T"	"bot_T_var"	"bot_oxy"	"bot_oxy_var"
"35"	"108"	2011	15.60883	56.15	0.211022434362902	0.212605772418274	1.85667779225827	30	0.245697290141068	0.25687877128393	10	10	0.00726008277055419	0.90711148250648	0.856811403423152	2.93353370413339	9	10	0.486964511890151	0.18739937728497	0.211486000396603	0.216300227880808	0.186462248166228	1.35059571713748	0.265473327700658	"Marenzelleria"	5	13.3	6.36169338226318	0.426307875378973	7.39758348464966	5.22169349591919	423.588836669922	43.1226697081799
"38"	"108"	2013	15.60883	56.15	0.221132858917456	0.228185902669764	1.54177124032645	25	0.251708109843348	0.261386255373867	8	8	0.122580155920821	0.89839648701443	NA	2.58889389370606	7	8	0.380224392041531	0.148860722211482	0.182849281607779	0.24934503392669	0.18578219243845	1.37624969347232	0.27691959721301	"Marenzelleria"	5	13.3	6.91652297973633	0.409042750899512	5.796142578125	5.41606522328556	427.735473632812	44.4166766495014
"40"	"108"	2015	15.60883	56.15	0.243869508020429	0.235822181827902	1.22732338803717	16.6666666666667	0.252144778818716	0.251698537095515	6	6	0.580605576689366	0.851444176524798	0.807982644539115	2.12740712459038	5	6	0.472334651412783	0.203351684433539	0.263614988241853	0.195585550865266	0.195585550865266	1.22732338803717	0.249467328479513	"Marenzelleria"	5	13.3	6.87806987762451	0.409669728359892	8.15083503723145	4.4826093843055	385.520385742188	35.678664958839
"42"	"109"	2011	15.68815	56.123	0.240457879749042	0.23951972163832	15.9554058472245	27.2727272727273	0.269217893238651	0.272249020643672	11	11	0.000433094789397225	0.884272980419371	0.872601020424618	3.11811769342316	10	11	1.23744256924432	0.576138599702737	0.516053633902123	0.237017966676396	0.190891437553459	6.55562646867041	0.271219883775313	"Marenzelleria"	5	7.2	6.51894044876099	0.417611645766428	6.41358852386475	4.54636240958851	423.452819824219	43.0444146132033
"44"	"109"	2013	15.68815	56.123	0.225265945729805	0.214125359963809	5.11853025171878	22.2222222222222	0.247747217530685	0.246194309573879	9	9	0.0104601048266262	0.887463023813733	0.877477904329029	2.77057687370804	8	9	0.56609540939311	0.251027713574099	0.257641123821493	0.175133309782823	0.19712715155558	5.08673136141737	0.248075439429258	"Marenzelleria"	5	7.2	7.03163623809815	0.418844860091564	6.90434503555298	4.79099296048869	417.018798828125	42.9189428246295
"46"	"109"	2015	15.68815	56.123	0.208451319339257	0.202579308758546	11.307826470155	20	0.21428677727693	0.213687960704602	5	5	1.43462845358377	0.973609056645469	0.945871334045109	1.99486490375103	4	5	0.762758001306077	0.4227474031048	0.473928192826332	0.179091266435702	0.179091266435702	11.307826470155	0.21129269441529	"Marenzelleria"	5	7.2	6.9522647857666	0.42949693142958	7.40426588058472	4.11559151046519	386.305358886719	34.3968231664195
"47"	"11"	2007	18.75504	57.30699	0.257613223446803	0.257000307591912	30.819381339377	25	0.268548939979148	0.271096766683608	12	12	0.00183232981729532	0.888219351483854	0.860834304003363	3.25945399462514	11	12	1.59716854773268	0.763193654469986	0.642747906795186	0.255161560027239	0.233169934450587	0.0835550428226959	0.272031344455794	"Marenzelleria"	5	11.5	6.89293896426207	0.162379727202807	6.69695242066432	4.51252480715728	402.596780130163	36.1522383892075
"50"	"11"	2008	18.75504	57.30699	0.242341299279238	0.233315673236512	8.36044597172871	20	0.266605184722424	0.261777491433769	10	10	0.00467753614974136	0.88020321391483	0.846668954660723	2.92892381353472	9	10	1.22765373902017	0.587693630268851	0.533163244544356	0.197213169065606	0.213843072961459	1.04869002554955	0.239214350823692	"Marenzelleria"	5	11.5	6.81167745209273	0.169511898646043	8.14880464972006	4.54563558422681	400.039785739065	32.0594777680459
"52"	"11"	2009	18.75504	57.30699	0.239242953664999	0.229688765979573	7.87791453499971	25	0.256966222004128	0.250527066809689	8	8	0.0673139946679736	0.866655424604663	0.862921523185535	2.59357962040181	7	8	1.41108698854293	0.688312719711088	0.678589400211276	0.201026202923296	0.215954486066989	1.03614896197188	0.237452162620397	"Marenzelleria"	5	11.5	6.99361944323498	0.225872966859929	7.95528090721174	5.43346424854998	402.37093170194	38.0960465909025
"55"	"11"	2011	18.75504	57.30699	0.247263880526584	0.235501433419639	38.3560536917669	25	0.262595536762075	0.257059581348763	8	8	0.0806158953871546	0.883949702794123	0.866553532536231	2.58562891948288	7	8	1.23773481428838	0.660452533992121	0.595224626169823	0.200214092098805	0.202511849305464	1.51475096114115	0.240788327708627	"Marenzelleria"	5	11.5	6.76552295153287	0.237619853345432	6.13213048075927	5.26328226072913	428.887296133423	45.7317540943786
