"rel_abund_NIS"	"variable"	"CI.lower"	"CI.upper"	"species"	"x_axis"
"1"	1.73337560442027	"NIS_Di_nw"	1.05091049487076	2.37336352485116	"Round goby"	0.344734911289151
"2"	1.73047334323024	"NIS_Di_nw"	1.04842221261957	2.37062412412469	"Round goby"	0.345761633719244
"3"	1.7275710820402	"NIS_Di_nw"	1.04593393036839	2.36788472339823	"Round goby"	0.346788356149336
"4"	1.72466882085017	"NIS_Di_nw"	1.0434456481172	2.36514532267176	"Round goby"	0.347815078579429
"5"	1.72176655966014	"NIS_Di_nw"	1.04095736586601	2.36240592194529	"Round goby"	0.348841801009521
"6"	1.71886429847011	"NIS_Di_nw"	1.03846908361483	2.35966652121883	"Round goby"	0.349868523439614
"7"	1.71596203728008	"NIS_Di_nw"	1.03598080136364	2.35692712049236	"Round goby"	0.350895245869706
"8"	1.71305977609005	"NIS_Di_nw"	1.03349251911245	2.3541877197659	"Round goby"	0.351921968299799
"9"	1.71015751490002	"NIS_Di_nw"	1.03100423686127	2.35144831903943	"Round goby"	0.352948690729891
"10"	1.70725525370998	"NIS_Di_nw"	1.02851595461008	2.34870891831296	"Round goby"	0.353975413159984
"11"	1.70435299251995	"NIS_Di_nw"	1.02602767235889	2.34596951758649	"Round goby"	0.355002135590076
"12"	1.70145073132992	"NIS_Di_nw"	1.02353939010771	2.34323011686003	"Round goby"	0.356028858020169
"13"	1.69854847013989	"NIS_Di_nw"	1.02105110785652	2.34049071613356	"Round goby"	0.357055580450261
"14"	1.69564620894986	"NIS_Di_nw"	1.01856282560533	2.3377513154071	"Round goby"	0.358082302880354
"15"	1.69274394775983	"NIS_Di_nw"	1.01607454335415	2.33501191468063	"Round goby"	0.359109025310446
"16"	1.6898416865698	"NIS_Di_nw"	1.01358626110296	2.33227251395416	"Round goby"	0.360135747740539
"17"	1.68693942537976	"NIS_Di_nw"	1.01109797885177	2.3295331132277	"Round goby"	0.361162470170631
"18"	1.68403716418973	"NIS_Di_nw"	1.00860969660059	2.32679371250123	"Round goby"	0.362189192600724
"19"	1.6811349029997	"NIS_Di_nw"	1.0061214143494	2.32405431177476	"Round goby"	0.363215915030816
"20"	1.67823264180967	"NIS_Di_nw"	1.00363313209821	2.3213149110483	"Round goby"	0.364242637460909
"21"	1.67533038061964	"NIS_Di_nw"	1.00114484984703	2.31857551032183	"Round goby"	0.365269359891001
"22"	1.67242811942961	"NIS_Di_nw"	0.998656567595839	2.31583610959536	"Round goby"	0.366296082321094
"23"	1.66952585823958	"NIS_Di_nw"	0.996168285344653	2.3130967088689	"Round goby"	0.367322804751186
"24"	1.66662359704955	"NIS_Di_nw"	0.993680003093466	2.31035730814243	"Round goby"	0.368349527181279
"25"	1.66372133585951	"NIS_Di_nw"	0.991191720842279	2.30761790741596	"Round goby"	0.369376249611371
"26"	1.66081907466948	"NIS_Di_nw"	0.988703438591092	2.3048785066895	"Round goby"	0.370402972041464
"27"	1.65791681347945	"NIS_Di_nw"	0.986215156339906	2.30213910596303	"Round goby"	0.371429694471556
"28"	1.65501455228942	"NIS_Di_nw"	0.98372687408872	2.29939970523656	"Round goby"	0.372456416901649
"29"	1.65211229109939	"NIS_Di_nw"	0.981238591837533	2.2966603045101	"Round goby"	0.373483139331741
"30"	1.64921002990936	"NIS_Di_nw"	0.978750309586346	2.29392090378363	"Round goby"	0.374509861761834
"31"	1.64630776871933	"NIS_Di_nw"	0.97626202733516	2.29118150305717	"Round goby"	0.375536584191926
"32"	1.6434055075293	"NIS_Di_nw"	0.973773745083973	2.2884421023307	"Round goby"	0.376563306622019
"33"	1.64050324633926	"NIS_Di_nw"	0.971285462832787	2.28570270160423	"Round goby"	0.377590029052111
"34"	1.63760098514923	"NIS_Di_nw"	0.9687971805816	2.28296330087777	"Round goby"	0.378616751482204
"35"	1.6346987239592	"NIS_Di_nw"	0.966308898330413	2.2802239001513	"Round goby"	0.379643473912296
"36"	1.63179646276917	"NIS_Di_nw"	0.963820616079227	2.27748449942483	"Round goby"	0.380670196342389
"37"	1.62889420157914	"NIS_Di_nw"	0.96133233382804	2.27474509869837	"Round goby"	0.381696918772481
"38"	1.62599194038911	"NIS_Di_nw"	0.958844051576853	2.2720056979719	"Round goby"	0.382723641202574
"39"	1.62308967919908	"NIS_Di_nw"	0.956355769325667	2.26926629724543	"Round goby"	0.383750363632666
"40"	1.62018741800904	"NIS_Di_nw"	0.95386748707448	2.26652689651897	"Round goby"	0.384777086062759
"41"	1.61728515681901	"NIS_Di_nw"	0.951379204823293	2.2637874957925	"Round goby"	0.385803808492851
"42"	1.61438289562898	"NIS_Di_nw"	0.948510935803392	2.26104809506603	"Round goby"	0.386830530922944
"43"	1.61148063443895	"NIS_Di_nw"	0.945352888519529	2.25830869433957	"Round goby"	0.387857253353037
"44"	1.60857837324892	"NIS_Di_nw"	0.942194841235666	2.2555692936131	"Round goby"	0.388883975783129
"45"	1.60567611205889	"NIS_Di_nw"	0.939036793951803	2.25282989288663	"Round goby"	0.389910698213222
"46"	1.60277385086886	"NIS_Di_nw"	0.935878746667941	2.25009049216017	"Round goby"	0.390937420643314
"47"	1.59987158967882	"NIS_Di_nw"	0.932720699384078	2.2473510914337	"Round goby"	0.391964143073407
"48"	1.59696932848879	"NIS_Di_nw"	0.929562652100215	2.24461169070724	"Round goby"	0.392990865503499
"49"	1.59406706729876	"NIS_Di_nw"	0.926404604816353	2.24187228998077	"Round goby"	0.394017587933592
"50"	1.59116480610873	"NIS_Di_nw"	0.92324655753249	2.2391328892543	"Round goby"	0.395044310363684
